feature,mean_abs_shap,rank
Bilirubin_min,0.011320997320447217,172
ALP_mean,0.010694384733934302,173
Weight_std,0.010406310946736917,174
Weight_delta,0.010402071852934222,175
Albumin_max,0.010310559210961873,176
pH_max,0.009982235827907214,177
ALP_min,0.009921563924662175,178
Mg_min,0.00967400769426132,179
GCS_last,0.009613368381120773,180
DiasABP_mean,0.009201568925574565,181
DiasABP_last,0.00914089536237115,182
SaO2_std,0.009075872385850585,183
Urine_low_output_hours_24h,0.008823936347695458,184
SaO2_count,0.008672925928924623,185
HCT_count,0.007560505699841514,186
RespRate_min,0.007471019364689583,187
Bilirubin_delta,0.0074238142466365046,188
FiO2_last,0.007325459951052901,189
GCS_count,0.007256801749619694,190
ALT_min,0.007127167523722122,191
SaO2_min,0.006783549048055792,192
AST_max,0.006676649053094958,193
Na_std,0.0065768109030330795,194
AST_min,0.006377531145356481,195
FiO2_missing_rate,0.006354720698491686,196
Albumin_mean,0.0060939575822382165,197
PaCO2_last,0.006041266040401266,198
ALT_mean,0.005991310306107858,199
TroponinI_last,0.00596800681636208,200
ALT_max,0.005913619361989144,201
WBC_count,0.005869610706062975,202
Albumin_min,0.005859529588817817,203
Creatinine_slope_last12,0.005545984291894901,204
NIMAP_count,0.005380134167308281,205
BUN_count,0.0053134010429980155,206
K_count,0.005152162361431803,207
Bilirubin_mean,0.005147362664918506,208
TroponinT_count,0.005145743352686487,209
ALP_max,0.005131699124471909,210
Creatinine_count,0.005118052606174109,211
Platelets_count,0.005020803964255248,212
TroponinT_delta,0.005007059580763783,213
ALT_delta,0.004988191304527468,214
Urine_missing_rate,0.004891106216009583,215
TroponinT_mean,0.004887465332417235,216
FiO2_delta,0.004699253302059619,217
AST_last,0.0046034183281200725,218
TroponinI_max,0.004381438819412563,219
ALP_last,0.004334407235434715,220
AST_mean,0.004301807337584837,221
HCO3_missing_rate,0.00422807299133863,222
Albumin_delta,0.004109275896792915,223
GCS_missing_rate,0.004100198599653683,224
HR_count,0.0039544349008355335,225
SaO2_max,0.00394641185407745,226
TroponinT_max,0.003938020221504876,227
Mg_count,0.003902588279380653,228
Bilirubin_last,0.003871817436522929,229
HCO3_count,0.003867784521928703,230
Bilirubin_missing_rate,0.0038612351614677187,231
SaO2_delta,0.0037555083039328033,232
Cholesterol_last,0.0034287207916452933,233
MAP_below_65_hours,0.0031166035792462585,234
PaCO2_missing_rate,0.0030234927457011623,235
RespRate_missing_rate,0.002918233643579993,236
DiasABP_count,0.0028782528746755225,237
Cholesterol_mean,0.00281563388837806,238
SysABP_below_90_hours,0.0028104472539842392,239
Na_count,0.0027829636273435355,240
GCS_max,0.0027700469557035944,241
K_missing_rate,0.002515582007717883,242
pH_missing_rate,0.002503328199758264,243
SaO2_missing_rate,0.0024941446950870715,244
TroponinI_min,0.002482019086372932,245
AST_count,0.0023825706006878355,246
HCT_missing_rate,0.002378681184036401,247
SaO2_last,0.0023705693818499647,248
Bilirubin_max,0.0022588947290357133,249
NIDiasABP_count,0.0022516237377770147,250
Platelets_missing_rate,0.002200753235821888,251
ALP_delta,0.0021564274143564275,252
Glucose_count,0.0021554197669688283,253
Albumin_missing_rate,0.002038466899296752,254
FiO2_max,0.0020290520900968154,255
Lactate_count,0.0019512052042656716,256
TroponinT_std,0.0019511468012735282,257
NIDiasABP_missing_rate,0.0019202097137737118,258
Mg_missing_rate,0.0018762483949657663,259
MAP_missing_rate,0.0018628287884979958,260
WBC_missing_rate,0.0016957348510153257,261
MechVent_missing_rate,0.0016729942454131288,262
AST_std,0.001663958643797828,263
ALP_std,0.0016501899028558645,264
DiasABP_missing_rate,0.0015841273297608456,265
Gender_first,0.0013964001317521785,266
Albumin_count,0.0013653977386885166,267
HR_missing_rate,0.0013087899785903052,268
Albumin_last,0.0012083758713250096,269
Lactate_missing_rate,0.0011528499133132474,270
Temp_missing_rate,0.0010756229469531895,271
TroponinT_missing_rate,0.001061464472449042,272
NIMAP_missing_rate,0.0010179705622625293,273
Creatinine_missing_rate,0.0009860915177808101,274
Cholesterol_count,0.000976598716047145,275
ALT_last,0.0008949875300396146,276
TroponinI_mean,0.0008838013291428391,277
Na_missing_rate,0.0007472336359605451,278
AST_delta,0.0006787415855013851,279
ALT_count,0.0006218166353503683,280
MAP_count,0.0005608064713365881,281
BUN_missing_rate,0.000555901317605445,282
TroponinT_last,0.0004683113578663808,283
ALT_missing_rate,0.0004677965365475459,284
Cholesterol_min,0.00039553209695159907,285
ALP_count,0.0003799257336454237,286
Bilirubin_std,0.00028891175598475764,287
AST_missing_rate,0.0002703076765390082,288
ALP_missing_rate,0.00023290343353830095,289
Bilirubin_count,0.00020401686600917746,290
Glucose_missing_rate,0.00020212438975114627,291
MechVent_mean,0.0,292
MechVent_last,0.0,293
MechVent_max,0.0,294
MechVent_delta,0.0,295
NISysABP_count,0.0,296
NISysABP_missing_rate,0.0,297
SysABP_missing_rate,0.0,298
SysABP_count,0.0,299
PaO2_missing_rate,0.0,300
MechVent_min,0.0,301
MechVent_std,0.0,302
Cholesterol_delta,0.0,303
Cholesterol_max,0.0,304
TroponinI_std,0.0,305
TroponinI_delta,0.0,306
TroponinI_missing_rate,0.0,307
TroponinI_count,0.0,308
Cholesterol_std,0.0,309
Cholesterol_missing_rate,0.0,310
Weight_missing_rate,0.0,311
Creatinine_slope_last6,0.0,312
Urine_any_6h_oliguria,0.0,313
